table_name,data_source_name,data_source_credentials,primary_key,watermark,refresh_schedule,partitioning,schema,data_transformation_script,ingestion_type,last_ingestion_date,error_log,incremental_ingestion_type,data_quality_rules,transformation_rules,batch_size,concurrency_level,retry_policy,last_error_timestamp,status,data_validation_script,data_lineage,source_file_format,compression_type,column_level_encryption,schema_evolution,historical_data_retention_policy,source_system_version,data_validation_rules,audit_logs,notification_rules,source_record_count,target_system,data sync type,Data Validation Frequency,Historical Data Handling
Kids,Wordpedia,username/password,,7/25/2013,daily,category,last_name,data_processing.py,full,,network_error,,remove_duplicates,rename_column,,6,retry 2,,,,Data deduplication,CSV,,false,merge data,,,Ensure email address is unique,,Slack,8238,Data Warehouse,,On Ingestion,Append
Shoes,Edgewire,token/key,primary_key_345,11/15/2014,daily,category,city,,incremental,5/13/2024,,,normalize_data,,,8,retry 2,,not-active,data_validation_script_7.sql,,,,false,merge data,1 year,,Verify that address field is not empty,,,2651,Data Lake,Batch,,
Electronics,Divanoodle,username/password,primary_key_007,10/18/2008,weekly,,id,data_processing.py,incremental,10/31/2024,,,validate_data_format,add_constraint,751,1,retry 1,,failed,data_validation_script_6.sql,,JSON,,true,handle column additions,1 year,8.6.1,,,,181,Data Warehouse,Real Time,,
Clothing,Quaxo,username/password,pk_678,,hourly,region,grade,data_manipulation.py,incremental,11/24/2024,,hash-based,remove_duplicates,rename_column,472,6,retry 2,,,,Data monitoring and alerting,,gzip,true,handle column additions,6 months,,Ensure email address is unique,,,3948,Data Lake,Batch,Daily,
Shoes,Shufflester,token/key,pk_890,2/9/2007,daily,region,model,data_cleaning_script.py,incremental,,data_loss,,,,,5,retry 2,,failed,data_validation_script_8.sql,Data replication for backup,,,false,merge data,6 months,,Check if date of birth is in the past,,email,1347,,Near Real Time,Hourly,Merge
Shoes,Skyndu,username/password,id_567,5/10/2014,daily,,city,data_transformations.py,full,1/6/2025,permission_denied,,validate_data_format,remove_index,,8,retry 1,,paused,,,CSV,,false,handle column additions,,,Ensure username is at least 6 characters long,,email,,Data Lake,,Hourly,Overwrite
Toys,Yakidoo,token/key,key_901,5/27/2014,daily,date,book_id,,incremental,,,hash-based,identify_outliers,remove_index,618,,,,active,,,CSV,,false,merge data,6 months,,Verify that password contains at least one uppercase letter,Implemented caching mechanism,Slack,2071,Data Warehouse,Real Time,On Ingestion,
Games,Layo,username/password,,10/7/2006,hourly,category,department,data_transformations.py,full,3/8/2024,,hash-based,identify_outliers,remove_column,,9,backoff time,,not-active,data_validation_script_1.sql,Data masking for privacy protection,CSV,,true,merge data,6 months,5.9,Ensure username is at least 6 characters long,,,7864,,Near Real Time,Daily,Overwrite
Beauty,Meemm,username/password,key_567,9/8/2008,daily,date,director,data_enrichment.py,incremental,,,date-based,remove_duplicates,split_table,,6,backoff time,2024-03-18T06:43:31Z,paused,data_validation_script_6.sql,,JSON,,true,handle column additions,30 days,,Check if age is between 18 and 65,,,6050,Data Lake,Real Time,On Ingestion,Append
Industrial,Oloo,token/key,id_001,11/10/2010,daily,,school,data_manipulation.py,incremental,3/17/2024,,,enforce_data_constraints,,901,,retry 2,2024-03-09T03:29:29Z,not-active,data_validation_script_9.sql,,,snappy,false,merge data,6 months,,,,,1618,,Batch,Weekly,Overwrite
